id	source	behavior	status	ref	evidence
readme-one-liaison	readme:features	You talk only to the first mate, which dispatches, supervises, and brings you only the decisions that are yours.	proven	ship-three-parallel	fm-verification-artifacts/e2e1-730573854/20260922T052134Z-648949c-8237/ship-three-parallel/transcript.txt
readme-visible-crew	readme:features	Each crewmate works in its own visible tab you can watch or type into.	proven	ship-three-parallel	fm-verification-artifacts/e2e1-730573854/20260922T052134Z-648949c-8237/ship-three-parallel/transcript.txt
readme-disposable-worktrees	readme:features	Each task runs in a clean, disposable worktree, so parallel work on one repo never collides.	proven	ship-three-parallel	fm-verification-artifacts/e2e1-730573854/20260922T052134Z-648949c-8237/ship-three-parallel/transcript.txt
readme-ship-and-scout	readme:features	Ship tasks deliver authorized changes, and scout tasks leave standalone investigation reports.	unproven	#88	
readme-project-modes	readme:features	Each project ships through no-mistakes, direct-PR or local-only, with an optional yolo merge flag.	unproven	#84	
readme-second-mates	readme:features	Second mates are optional persistent helpers that run from isolated homes with their own state, projects and session lock, locally or remotely.	unproven	#89	
readme-low-token-supervision	readme:features	A watcher wakes the first mate only when something needs it, without spending tokens on idle polling.	unproven	#86	
readme-project-boundary	readme:features	The first mate stays read-only over your projects outside a narrow set of operations, and crewmates make every other change.	unproven	#83	
readme-restart-proof	readme:features	All state lives on disk and in the session backend, so a new session reconciles and carries on after a restart.	unproven	#87	
agents-3-session-start	agents:3-session-start	One command runs session start once, so the captain gets one ordered digest instead of scattered reads.	unproven	#87	
agents-3-wake-queue	agents:3-wake-queue	The durable wake queue is presented raw at every locked session start and stays queued until explicitly acknowledged.	unproven	#86	
agents-3-bootstrap-consent	agents:3-bootstrap-consent	Bootstrap only detects missing tools or problems; it installs anything only after the captain approves in the current session.	unproven	#93	
agents-5-restart-non-event	agents:5-restart-non-event	A restart is a non-event: durable records and live backend state, not conversation memory, pick the session back up.	unproven	#87	
agents-5-stuck-recovery	agents:5-stuck-recovery	A dead or metadata-less direct report is reconciled and its unlanded work preserved before any new work starts.	unproven	#90	
agents-7-project-resolution	agents:7-project-resolution	Every request resolves to one project before work starts, asking the captain only when more than one plausibly matches.	unproven	#83	
agents-7-ship-vs-scout	agents:7-ship-vs-scout	Work is classified as a ship, an authorized change, or a scout, a report only, before anything is dispatched.	unproven	#83	
agents-7-delivery-mode	agents:7-delivery-mode	A ship task's delivery mode and yolo merge posture are resolved once at intake and recorded in the backlog note.	unproven	#83	
agents-7-review-owned-by-path	agents:7-review-owned-by-path	The selected delivery path owns its own review; no second manual gate is stacked on top of it.	unproven	#83	
agents-7-merge-authority	agents:7-merge-authority	With yolo off the captain approves every PR merge and every local landing; with it on firstmate merges green work itself, and never a red PR either way.	unproven	#84	
agents-7-teardown-refusal	agents:7-teardown-refusal	Teardown refuses to discard a task with uncommitted or unlanded work, and that refusal is a stop-and-investigate result, never bypassed.	unproven	#91	
agents-7-scout-report-gate	agents:7-scout-report-gate	A scout leaves a self-contained report before its scratch worktree is discarded, and that report is what promotion carries forward.	unproven	#88	
agents-7-promotion-carryover	agents:7-promotion-carryover	Promoting a scout to a ship keeps its window and context, carrying over only the intended fix, not its scratch commits.	unproven	#88	
agents-8-live-cycle	agents:8-live-cycle	Exactly one live supervision cycle runs whenever work is in flight, so no turn ends blind to what the crew is doing.	proven	supervision-wakes	fm-verification-artifacts/e2e1-730573854/20260922T064625Z-4cfd0ee-51824/supervision-wakes/transcript.txt
agents-8-wake-drain	agents:8-wake-drain	Every wake-handling turn drains the queue and reconciles open decisions and unread status before doing anything else that turn.	unproven	#86	
agents-8-actionable-wakes	agents:8-actionable-wakes	A signal, stale, check, or heartbeat wake each gets its own documented handling, from reading the event to escalating a real blocker.	unproven	#86	
